ID,Progress,Duration,Finished,grit_pass1,grit_pass2,grit_pass3,grit_pass4,grit_pers1,grit_pers2,grit_pers3,grit_pers4,selfcont1,selfcont2,selfcont3,selfcont4,curiosity1,curiosity2,curiosity3,curiosity4,mindset1,mindset2,mindset3,mindset4,Happy,Sad,Anxious,Joyful,Angry,Relaxed,LS,SES_1,SES_2,SES_3,SES_4,SES_5,SES_6,SES_7,SES_8,white,black,asian,hispanic,amindian,pacisl,multirace,female,grade,gpa_mp1,gpa_mp2,gpa_mp3
11,100,8216,1,5,5,4,4,5,3,5,4,1,5,5,3,5,4,3,5,5,5,5,4,3,3,3,3,3,3,4,Off,Off,On,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,0,12,96.36333333,95.48666667,94.37666667
12,100,1087,1,4,5,5,5,4,5,3,5,4,4,4,4,3,3,5,3,2,4,6,5,3,4,5,3,2,2,3,Off,Off,Off,Off,Off,Off,Off,On,0,0,0,1,0,0,0,1,10,89.515,92.945,92.0325
13,100,1559,1,5,5,3,3,5,4,5,4,3,1,2,3,1,5,5,4,1,1,6,6,4,4,3,3,1,4,5,Off,Off,Off,Off,On,Off,Off,Off,0,0,0,1,0,0,0,0,10,94.992,94.528,92.744
14,100,1068,1,4,2,3,3,3,2,4,4,3,2,3,1,2,3,3,5,1,1,6,6,4,2,4,5,1,1,3,Off,Off,Off,On,Off,Off,Off,Off,0,1,0,0,0,0,0,0,11,82.61285714,80.17428571,75.35285714
15,86,110930,0,2,3,3,3,3,3,NA,4,3,4,4,3,2,4,3,3,2,2,4,4,5,3,2,4,5,3,4,Off,Off,On,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,0,8,88.305,89.9575,78.37
16,100,1328,1,5,3,3,5,3,2,3,3,3,1,3,4,2,4,2,2,5,5,4,6,5,3,3,5,1,5,4,Off,Off,On,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,1,8,82.07,75.4475,78.2325
17,100,429860,1,1,4,4,5,5,3,5,4,2,3,2,5,2,4,3,2,1,1,6,6,5,1,3,5,2,4,5,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,1,8,98.518,98.516,96.996
18,100,963,1,1,4,3,5,3,3,5,4,2,2,4,2,4,5,5,5,3,4,4,4,5,2,3,5,2,4,5,Off,Off,Off,On,Off,Off,Off,Off,0,0,0,1,0,0,0,1,10,73.368,76.074,75.492
19,100,843,1,4,5,5,5,3,5,5,5,5,5,5,4,4,5,4,5,1,1,6,6,4,2,3,3,3,3,4,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,1,9,90.70571429,83.74571429,90.35714286
20,100,779,1,1,1,3,5,1,2,2,2,1,1,1,1,5,5,2,5,1,3,4,4,2,2,5,2,3,2,1,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,1,11,79.24,69.3775,53.485
21,100,1309,1,3,4,4,4,2,3,4,3,3,2,2,2,2,3,4,4,4,4,5,4,3,4,4,2,4,3,2,Off,Off,On,Off,Off,Off,Off,Off,0,1,0,0,0,0,0,0,9,71.91333333,73.07,69.64
22,100,751,1,1,5,2,4,4,3,5,3,2,2,2,4,2,4,3,2,2,2,4,3,4,3,1,3,3,4,4,Off,Off,On,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,1,11,88.548,84.582,86.58
23,100,685,1,1,5,3,3,2,2,3,4,3,3,4,3,2,3,3,2,5,2,4,NA,3,4,4,2,4,5,2,Off,On,Off,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,1,9,82.33833333,80.92833333,78.89
24,100,837,1,5,5,1,4,5,2,5,5,1,2,1,3,4,4,4,5,3,3,6,2,4,3,5,4,1,1,3,Off,Off,Off,On,Off,Off,Off,Off,0,1,0,0,0,0,0,1,11,91.07666667,88.21166667,90.26666667
25,100,879,1,1,3,2,4,1,2,1,2,1,1,3,1,1,1,2,1,2,2,4,5,3,3,3,3,3,3,NA,Off,Off,On,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,0,12,81.74666667,80.28666667,79.9775
26,100,2157,1,1,4,5,4,1,5,5,5,2,1,3,5,3,4,4,5,5,6,1,2,5,3,3,4,3,2,4,On,Off,Off,Off,Off,Off,Off,Off,0,1,0,0,0,0,0,1,9,80.725,80.365,76.6275
27,100,1201,1,2,5,3,4,3,5,4,3,4,3,4,3,3,4,3,3,2,2,4,4,3,4,5,3,1,4,4,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,1,9,96.6,95.39333333,94.13
28,100,796,1,3,5,4,4,4,4,5,5,1,1,4,3,2,5,2,4,5,5,5,4,4,3,3,4,3,3,3,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,1,12,84.36,84.445,79.935
29,100,778,1,3,4,3,3,3,4,4,4,3,3,3,2,4,4,2,3,2,4,5,6,4,2,3,4,1,5,5,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,0,9,81.70666667,80.08333333,83.47833333
30,100,1307,1,1,5,4,3,4,4,5,4,3,3,4,1,2,4,1,2,5,5,5,4,4,3,4,3,2,2,4,Off,Off,On,Off,Off,Off,Off,Off,1,0,0,0,0,0,0,1,10,81.8375,76.7,73.82
31,100,986,1,1,4,3,3,3,5,4,4,3,3,4,3,2,3,4,2,3,3,3,3,3,4,2,2,5,3,3,Off,Off,Off,Off,Off,On,Off,Off,0,1,0,0,0,0,0,1,10,83.21,84.23166667,85.44666667
32,100,762,1,2,4,2,1,2,3,4,4,2,3,4,4,2,4,3,2,2,2,5,4,3,2,3,3,2,3,NA,Off,Off,Off,Off,On,Off,Off,Off,0,0,1,0,0,0,0,1,10,92.314,91.054,92.456
33,100,950,1,2,5,5,5,4,3,5,5,4,4,5,5,4,4,4,4,1,1,5,5,5,3,3,5,2,4,5,Off,On,Off,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,1,9,76.58,76.508,79.92
34,53,1135276,0,2,4,2,3,5,3,4,4,3,4,3,3,3,5,3,3,NA,NA,NA,NA,3,3,2,4,2,3,4,Off,Off,Off,On,Off,Off,Off,Off,0,1,0,0,0,0,0,0,8,65.2225,57.865,55.0325
35,100,403,1,2,2,3,2,2,2,3,2,3,3,3,3,3,2,3,2,3,2,1,4,3,3,3,3,3,3,NA,Off,Off,Off,Off,Off,Off,Off,Off,0,1,0,0,0,0,0,1,11,87.8275,81.84,83.5925
36,100,896,1,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,1,1,6,6,3,3,4,3,2,2,4,Off,Off,Off,On,Off,Off,Off,Off,0,0,0,1,0,0,0,0,9,88.194,81.814,86.208
37,100,876,1,2,4,3,3,3,2,4,4,3,2,3,4,2,3,2,2,2,2,5,4,5,2,2,5,3,5,4,Off,Off,Off,On,Off,Off,Off,Off,0,1,0,0,0,0,0,0,12,69.43,64.41,70.78
38,100,1150,1,4,4,4,4,3,3,4,4,4,3,3,3,4,4,4,3,1,2,4,6,4,3,2,4,2,4,4,Off,Off,Off,On,Off,Off,Off,Off,0,0,0,1,0,0,0,0,9,82.25,79.93,80.566
39,100,578,1,4,4,3,5,4,4,2,2,1,2,2,4,1,3,1,4,3,2,5,4,4,4,4,3,2,5,4,Off,Off,On,Off,Off,Off,Off,Off,1,0,0,0,0,0,0,0,11,84.1075,77.35,80.37
40,100,510,1,2,5,5,4,4,5,5,5,2,4,5,4,3,5,3,3,3,2,5,4,4,2,4,4,1,4,5,Off,On,Off,Off,Off,Off,Off,Off,1,0,0,0,0,0,0,1,10,96.785,97.39833333,96.65333333
41,66,1362,0,1,4,4,5,3,4,4,4,3,1,1,4,2,2,2,1,NA,NA,NA,NA,2,4,1,4,4,2,3,Off,Off,Off,On,Off,Off,Off,Off,0,1,0,0,0,0,0,1,8,68.5375,69.635,66.715
42,100,1894,1,3,3,4,5,3,3,4,4,3,2,3,4,3,3,3,3,6,5,5,6,5,2,4,5,2,3,4,Off,Off,On,Off,Off,Off,Off,Off,0,1,0,0,0,0,0,1,9,80.42,72.11428571,71.11857143
43,100,1397,1,4,5,2,4,4,5,3,3,2,1,4,3,2,3,3,3,4,4,2,4,3,4,3,5,5,1,4,Off,Off,On,Off,Off,Off,Off,Off,0,1,0,0,0,0,0,1,11,73.04,56.30166667,72.54833333
44,100,506,1,5,5,2,5,3,3,3,3,1,2,2,3,2,5,2,4,2,2,5,5,4,2,3,5,3,4,5,Off,Off,On,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,1,8,90.226,86.578,88.45
45,100,1410,1,1,5,5,5,3,5,5,5,4,5,5,5,4,5,5,4,1,1,6,6,5,1,3,5,1,3,5,Off,On,Off,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,0,10,93.26,95.01,91.9
46,100,1146,1,2,3,2,5,4,3,4,4,5,3,3,3,4,3,4,4,3,4,5,4,5,2,5,5,1,4,5,Off,Off,Off,On,Off,Off,Off,Off,0,0,0,1,0,0,0,0,9,80.775,73.02,82.72166667
47,100,382,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,3,3,3,3,3,3,4,Off,On,Off,Off,Off,Off,Off,Off,1,0,0,0,0,0,0,1,10,79.88,79.952,84.74
48,100,1599,1,5,5,1,4,4,4,5,3,3,5,5,2,1,1,3,3,2,2,5,5,3,3,3,3,3,3,NA,Off,Off,Off,Off,On,Off,Off,Off,0,0,0,1,0,0,0,0,9,94.646,73.654,67.218
49,79,966,0,1,2,1,4,3,2,3,2,3,2,1,4,2,3,3,2,NA,NA,NA,NA,2,3,4,2,3,3,3,Off,Off,Off,Off,On,Off,Off,Off,0,0,0,1,0,0,0,0,10,85.084,86.79,86.424
50,10,67741,0,4,2,4,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,0,0,0,1,0,0,0,0,10,94.12666667,91.75833333,91.65333333
51,100,1670,1,4,4,5,5,1,2,4,2,1,1,1,1,1,5,1,5,1,6,5,3,3,5,2,2,4,1,NA,Off,Off,Off,Off,Off,On,Off,Off,0,1,0,0,0,0,0,1,10,61.33666667,63.635,74.738
52,100,687,1,5,5,5,5,3,5,4,4,5,4,4,4,5,5,4,4,5,5,5,4,4,4,4,5,2,3,5,Off,Off,On,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,1,9,84.5625,86.81,88.7875
53,10,139,0,NA,NA,NA,NA,3,3,NA,3,2,NA,3,NA,NA,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1,0,0,0,0,0,0,0,8,94.39666667,91.53833333,91.46833333
54,100,489,1,1,3,2,4,4,3,4,3,3,3,3,3,2,3,2,1,4,4,4,4,4,3,2,3,2,4,4,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,0,8,94.39666667,91.53833333,91.46833333
55,100,1068,1,2,4,2,4,4,5,4,4,4,1,3,2,3,3,2,2,2,4,4,4,4,1,2,4,3,2,4,Off,Off,Off,Off,Off,Off,On,Off,1,0,0,0,0,0,0,0,9,80.93333333,70.07666667,69.50166667
56,100,791,1,2,2,5,5,3,3,4,3,1,1,3,1,1,5,3,3,2,3,4,3,2,4,5,3,2,2,3,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,1,10,76.92166667,73.48,70.905
57,100,677,1,2,4,4,5,3,2,3,3,2,2,2,4,3,2,4,2,3,2,5,5,4,4,4,4,3,3,4,Off,Off,Off,Off,Off,On,Off,Off,0,0,0,1,0,0,0,1,9,82.32666667,79.43333333,80.04666667
58,100,1168,1,3,4,1,5,2,1,3,3,1,2,3,4,3,3,2,3,3,2,6,6,3,3,4,2,5,2,NA,Off,Off,Off,Off,Off,On,Off,Off,0,0,0,0,0,0,1,1,10,87.158,84.214,82.466
59,100,1793,1,1,4,3,3,3,2,3,3,1,2,2,2,1,2,3,1,3,4,4,4,3,4,4,4,4,3,4,Off,Off,Off,On,Off,Off,Off,Off,0,0,0,1,0,0,0,0,9,70.58166667,65.89166667,70.96333333
60,100,1970,1,1,5,2,3,2,4,4,5,3,5,5,3,3,4,3,2,5,6,6,5,4,2,3,4,2,4,5,On,Off,Off,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,0,9,77.58333333,75.66166667,74.03833333
61,100,1258,1,3,3,3,4,3,2,2,3,3,3,3,5,3,4,5,3,4,4,5,5,3,4,4,3,4,5,3,Off,Off,On,Off,Off,Off,Off,Off,1,0,0,0,0,0,0,0,10,89.42666667,84.82,83.495
62,100,450,1,2,2,4,2,1,2,5,2,4,3,3,2,4,2,4,5,1,1,1,1,5,1,1,5,2,5,5,On,Off,Off,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,0,12,81.98,73.07,62.5
63,100,751,1,4,5,4,4,4,3,4,5,2,2,2,2,2,4,2,2,1,2,6,3,4,3,4,4,4,3,5,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,0,9,85.02333333,78.84333333,84.31166667
64,100,1245,1,1,3,3,5,2,2,1,1,1,1,3,3,1,1,1,1,5,2,2,5,4,4,3,4,5,3,3,Off,Off,Off,On,Off,Off,Off,Off,0,0,0,1,0,0,0,0,9,63.1325,55.715,66.4475
65,100,932,1,5,5,5,4,4,5,5,5,3,4,5,4,4,4,4,4,3,3,4,4,4,2,3,4,2,3,5,Off,Off,On,Off,Off,Off,Off,Off,1,0,0,0,0,0,0,0,11,93.21,92.52666667,86.68666667
66,100,862,1,1,4,1,4,5,2,4,2,2,3,2,2,2,2,2,2,2,3,4,4,5,1,2,4,3,5,5,Off,Off,Off,Off,On,Off,Off,Off,0,1,0,0,0,0,0,0,11,75.7075,80.1325,73.6425
67,100,544,1,5,5,4,5,5,5,4,5,5,5,5,5,4,5,3,4,4,5,6,6,4,2,4,4,4,4,3,Off,Off,On,Off,Off,Off,Off,Off,1,0,0,0,0,0,0,0,10,89.19,85.75833333,80.80666667
68,100,855,1,3,3,3,1,2,2,2,2,2,2,2,2,2,2,5,1,2,4,4,5,2,2,3,2,4,3,2,Off,Off,Off,Off,On,Off,Off,Off,0,0,0,1,0,0,0,1,10,75.71,84.6525,75.74
69,100,725,1,1,5,5,5,2,5,3,5,4,4,2,5,1,5,4,4,6,6,6,6,5,3,3,5,3,4,5,On,Off,Off,Off,Off,Off,Off,Off,1,0,0,0,0,0,0,0,10,81.15,89.71,64.14
70,100,610,1,3,4,3,3,3,3,4,4,3,3,3,1,2,3,3,3,4,3,4,4,4,2,2,3,3,3,4,Off,Off,Off,On,Off,Off,Off,Off,0,0,0,1,0,0,0,1,12,95.835,79.67,83.795
71,100,912,1,1,5,5,3,4,4,5,5,3,3,4,5,3,5,2,4,1,1,5,6,3,2,2,4,1,5,4,Off,Off,Off,On,Off,Off,Off,Off,0,1,0,0,0,0,0,1,11,87.06,84.9325,85.015
72,100,2209,1,1,3,2,4,3,3,3,3,3,2,4,4,2,4,3,5,4,4,4,4,3,3,2,3,1,4,4,Off,Off,Off,On,Off,Off,Off,Off,0,0,0,1,0,0,0,0,10,83.6275,76.86,84.0275
73,84,1389,0,4,5,3,5,3,2,5,2,1,2,3,4,1,4,4,4,NA,NA,NA,NA,3,4,4,3,4,1,4,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,1,9,88.24333333,88.62333333,86.55333333
74,100,949,1,1,2,2,2,2,2,2,3,2,3,1,2,2,2,1,2,2,3,5,4,3,3,2,3,3,3,5,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,0,11,85.442,72.394,72.938
75,100,1427,1,3,3,4,3,3,4,4,4,3,3,3,3,2,3,3,2,2,2,4,5,3,2,1,3,1,4,4,Off,Off,Off,Off,On,Off,Off,Off,0,0,0,1,0,0,0,1,11,69.66833333,74.97833333,71.36166667
76,100,500,1,3,3,4,4,3,2,NA,4,3,4,4,3,3,4,1,3,2,4,4,4,1,5,4,2,1,4,1,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,1,10,83.615,76.69,79.085
77,100,1190,1,5,3,4,1,3,3,5,3,5,1,3,3,1,3,3,3,4,3,4,3,4,2,3,4,3,4,4,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,0,10,74.7625,67.3475,67.5225
78,100,965,1,2,5,3,4,2,3,3,3,2,2,2,2,2,2,2,4,3,3,4,5,3,3,2,4,4,4,3,Off,Off,On,Off,Off,Off,Off,Off,0,1,0,0,0,0,0,1,11,88.416,86.672,76.724
79,100,1210,1,5,5,1,3,2,4,4,4,5,3,4,5,3,4,5,1,4,3,6,4,3,4,5,4,5,3,3,Off,Off,Off,Off,On,Off,Off,Off,0,0,0,1,0,0,0,1,11,81.894,83.966,83.478
80,100,973,1,5,5,5,5,4,4,4,5,3,3,3,2,4,5,5,4,1,2,6,5,5,2,3,4,1,5,4,Off,Off,Off,On,Off,Off,Off,Off,0,0,0,1,0,0,0,0,12,83.82,75.34666667,85.94
81,100,522,1,4,4,4,4,1,3,4,4,4,3,4,1,2,3,2,1,4,4,3,4,NA,3,4,3,2,3,1,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,1,NA,NA,89.398,89.322
82,100,1837,1,1,3,3,3,1,4,2,2,1,3,2,2,3,3,2,1,4,4,3,3,3,3,5,2,3,1,3,Off,Off,Off,On,Off,Off,Off,Off,0,0,0,1,0,0,0,1,8,96.35166667,97.87,97.36666667
83,100,1236,1,3,3,3,4,3,3,4,4,3,3,3,5,3,4,3,3,2,3,5,4,5,3,3,4,3,4,4,Off,Off,Off,On,Off,Off,Off,Off,0,0,0,1,0,0,0,0,9,77.74,83.712,78.51
84,100,844,1,3,4,3,3,3,3,5,3,1,1,2,3,1,3,4,1,2,2,5,4,4,4,3,4,2,3,1,Off,Off,Off,Off,On,Off,Off,Off,1,0,0,0,0,0,0,1,8,89.18833333,88.62333333,78.525
85,96,426354,0,1,5,2,3,2,2,4,5,2,2,3,5,1,4,4,3,3,2,5,4,4,3,3,4,2,3,4,Off,On,Off,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,0,9,73.73,66.892,55.502
86,100,1464,1,1,4,2,4,4,1,3,3,1,1,2,3,1,2,3,1,1,1,6,6,3,2,3,3,3,4,4,Off,Off,Off,On,Off,Off,Off,Off,0,1,0,0,0,0,0,0,10,87.226,91.46,89.592
87,100,1094,1,2,4,4,5,4,5,4,4,3,3,3,3,2,3,3,3,3,4,5,4,5,3,3,4,2,5,4,Off,Off,Off,On,Off,Off,Off,Off,0,1,0,0,0,0,0,1,12,87.265,81.435,74.7475
88,100,1116,1,2,5,3,5,3,2,3,3,3,1,4,3,2,3,2,3,2,2,5,5,4,3,4,4,4,5,4,Off,Off,On,Off,Off,Off,Off,Off,0,1,0,0,0,0,0,0,11,78.6475,73.108,72.672
89,100,1004,1,3,4,4,2,4,4,3,3,2,3,4,3,3,4,4,4,3,3,4,4,4,2,4,4,3,4,4,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,0,10,79.75333333,76.19666667,74.37666667
90,100,1144,1,3,5,1,5,3,4,3,3,2,2,3,3,2,3,3,2,4,4,4,4,3,4,4,5,4,2,3,Off,Off,On,Off,Off,Off,Off,Off,1,0,0,0,0,0,0,0,9,83.66333333,75.2,74.34333333
91,100,1307,1,3,1,1,3,4,1,5,1,4,2,5,1,2,1,1,2,2,2,4,4,4,3,3,3,3,3,4,Off,Off,Off,Off,Off,On,Off,Off,0,1,0,0,0,0,0,1,12,93.49,90.02666667,NA
92,100,948,1,2,4,3,2,3,5,3,4,1,1,2,3,1,3,2,1,2,2,4,5,4,3,4,3,3,1,4,Off,Off,Off,Off,On,Off,Off,Off,1,0,0,0,0,0,0,1,11,86.1275,90.6425,87.8275
93,100,88308,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,1,1,5,3,4,5,On,Off,Off,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,0,10,59.9,51.67,68.55
94,100,978,1,5,5,4,4,3,3,4,4,2,1,4,2,1,5,4,2,1,1,6,6,5,2,5,5,3,5,5,Off,Off,Off,On,Off,Off,Off,Off,0,0,0,1,0,0,0,0,10,81.4625,82.6925,86.585
95,100,746,1,2,2,3,5,2,2,1,2,1,1,3,1,1,3,1,3,3,5,4,4,3,3,3,3,3,5,5,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,0,11,74.25333333,75.39333333,65.19666667
96,100,664,1,5,5,5,2,2,5,5,5,4,5,4,5,2,3,1,1,1,2,4,5,5,2,1,4,1,5,5,Off,Off,On,Off,Off,Off,Off,Off,1,0,0,0,0,0,0,0,10,87.086,81.12,79.346
97,100,1543,1,1,4,1,3,4,4,4,4,3,3,4,3,2,4,2,2,2,1,5,5,5,2,2,5,2,5,4,Off,Off,On,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,0,9,86.18833333,90.76,86.07666667
98,100,1275,1,5,4,5,4,4,4,1,4,4,5,4,5,4,4,3,4,5,6,3,5,3,5,5,3,3,1,1,Off,Off,On,Off,Off,Off,Off,Off,0,1,0,0,0,0,0,1,10,68.11,69.402,81.208
99,100,1129,1,5,5,5,5,3,5,5,2,4,4,2,5,5,5,3,1,1,1,6,6,2,5,4,2,3,1,3,Off,Off,Off,Off,On,Off,Off,Off,0,1,0,0,0,0,0,1,12,90.57,87.54,84.37333333
100,100,791,1,3,3,4,5,1,4,2,4,1,1,3,3,1,3,2,2,5,5,5,5,1,5,5,1,5,1,1,Off,Off,Off,Off,Off,On,Off,Off,0,0,0,1,0,0,0,1,11,63.314,71.526,69.87
101,100,1003,1,5,4,3,2,3,3,3,3,3,2,1,3,2,3,2,1,2,2,4,5,4,3,2,3,3,2,3,Off,On,Off,Off,Off,Off,Off,Off,1,0,0,0,0,0,0,1,9,68.25333333,70.825,61.46333333
102,100,1166,1,2,4,5,3,3,4,4,4,4,4,4,4,3,5,4,4,5,5,6,4,3,4,2,3,1,4,5,Off,Off,On,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,1,8,88.405,93.5675,78.405
103,100,885,1,1,2,2,4,1,4,3,3,2,2,4,3,3,2,3,1,2,3,4,4,3,4,3,3,4,3,4,Off,Off,On,Off,Off,Off,Off,Off,0,0,1,0,0,0,0,1,11,90.99833333,90.85666667,95.835
104,100,714,1,2,3,2,5,2,2,2,3,1,1,2,2,2,4,1,4,2,2,5,5,4,3,5,4,2,5,3,Off,Off,On,Off,Off,Off,Off,Off,0,1,0,0,0,0,0,0,10,81.405,76.76166667,75.11
105,100,443,1,2,5,5,1,1,1,2,5,2,1,5,1,1,5,2,2,1,1,1,1,1,5,5,1,5,1,3,Off,On,Off,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,1,12,87.7275,85.6775,81.1075
106,100,1409,1,4,5,5,4,4,4,4,5,3,2,1,5,4,5,3,1,3,2,6,6,4,3,3,5,1,5,5,Off,On,Off,Off,Off,Off,Off,Off,0,0,0,1,0,0,0,1,10,69.794,78.706,73.706
107,100,927,1,3,5,4,5,3,5,5,3,1,4,4,5,3,3,4,1,2,5,4,3,2,4,5,3,2,2,4,Off,Off,Off,On,Off,Off,Off,Off,0,0,0,1,0,0,0,1,12,92.584,94.742,95.588
108,100,767,1,5,5,4,5,4,4,4,4,3,3,5,4,2,4,NA,4,2,3,5,5,4,3,4,4,2,2,4,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,1,10,92.226,93.952,93.57
109,100,1251,1,5,5,3,5,2,5,5,5,3,3,3,3,3,4,5,3,2,6,3,3,5,2,3,5,2,5,5,Off,Off,Off,Off,On,Off,Off,Off,0,0,0,1,0,0,0,0,10,78.85,86.375,81.585
110,100,784,1,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,2,6,6,4,2,3,5,2,4,4,Off,Off,Off,On,Off,Off,Off,Off,0,0,0,1,0,0,0,1,10,95.86571429,97.68857143,97.58857143
111,100,806,1,4,4,3,2,3,4,3,3,2,2,3,2,3,4,3,3,4,3,5,5,3,4,3,3,2,3,2,Off,Off,Off,Off,On,Off,Off,Off,0,0,1,0,0,0,0,1,10,91.865,90.88333333,89.95666667
112,100,1171,1,5,4,4,4,3,3,3,4,2,2,3,3,2,4,3,4,1,3,4,5,3,4,2,3,2,5,2,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,0,9,69.98,62.636,58.762
113,100,1572,1,1,1,4,4,3,2,2,2,5,3,2,2,1,2,2,2,3,3,4,5,5,1,2,5,2,3,4,Off,Off,Off,Off,On,Off,Off,Off,0,0,0,1,0,0,0,1,10,86.95,89.328,96.144
114,1,39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1,0,0,0,0,0,0,1,10,94.87,94.676,93.736
